Date(UTC),Market,Type,Price,Amount,Total,Fee,Fee Coin
2021-04-23 19:16:16,DOGEUSDT,SELL,0.2331,43,10.02330000,0.0100233,USDT
2021-04-23 18:44:20,DOGEUSDT,BUY,0.2327,43,10.00610000,0.043,DOGE
2021-04-23 18:42:51,DOGEUSDT,SELL,0.2331,43,10.02330000,0.0100233,USDT
2021-04-23 18:41:45,DOGEUSDT,BUY,0.2318992,44,10.20356480,0.044,DOGE
2021-04-23 18:40:22,DOGEUSDT,SELL,0.2331,44,10.25640000,0.0102564,USDT
2021-04-23 18:37:28,DOGEUSDT,BUY,0.2325425,44,10.23187000,0.044,DOGE
2021-04-23 18:34:24,DOGEUSDT,SELL,0.232,44,10.20800000,0.010208,USDT
2021-04-23 18:31:39,DOGEUSDT,BUY,0.2317,44,10.19480000,0.044,DOGE
2021-04-23 18:30:02,DOGEUSDT,SELL,0.2321,44,10.21240000,0.0102124,USDT
2021-04-23 18:29:03,DOGEUSDT,BUY,0.2319,44,10.20360000,0.044,DOGE
2021-04-23 14:31:38,DOGEUSDT,SELL,0.232,44,10.20800000,0.010208,USDT
2021-04-23 14:26:23,DOGEUSDT,BUY,0.231,44,10.16400000,0.044,DOGE
2021-04-23 14:17:56,DOGEUSDT,SELL,0.229,44,10.07600000,0.010076,USDT
2021-04-23 14:16:04,DOGEUSDT,BUY,0.2277922,44,10.02285680,0.044,DOGE
2021-04-23 13:50:49,DOGEUSDT,SELL,0.2208,46,10.15680000,0.0101568,USDT
2021-04-23 13:36:35,DOGEUSDT,BUY,0.2198,46,10.11080000,0.046,DOGE
2021-04-23 13:35:36,DOGEUSDT,SELL,0.2208,46,10.15680000,0.0101568,USDT
2021-04-23 13:33:20,DOGEUSDT,BUY,0.2195947,46,10.10135620,0.046,DOGE
2021-04-23 13:32:29,DOGEUSDT,SELL,0.221,60,13.26000000,0.01326,USDT
2021-04-23 13:30:48,DOGEUSDT,BUY,0.22,46,10.12000000,0.046,DOGE
2021-04-23 13:29:27,DOGEUSDT,SELL,0.22,46,10.12000000,0.01012,USDT
2021-04-23 13:27:57,DOGEUSDT,BUY,0.2189797,46,10.07306620,0.046,DOGE
2021-04-23 13:26:39,DOGEUSDT,SELL,0.22,47,10.34000000,0.01034,USDT
2021-04-23 13:25:33,DOGEUSDT,BUY,0.2198,63,13.84740000,0.063,DOGE
2021-04-23 13:24:29,DOGEUSDT,SELL,0.22,46,10.12000000,0.01012,USDT
2021-04-23 12:45:27,DOGEUSDT,BUY,0.2304209,44,10.13851960,0.044,DOGE
2021-04-23 12:45:00,DOGEUSDT,SELL,0.2318,44,10.19920000,0.0101992,USDT
2021-04-23 12:41:32,DOGEUSDT,BUY,0.2315,44,10.18600000,0.044,DOGE
2021-04-23 12:40:28,DOGEUSDT,SELL,0.231922,45,10.43649000,0.01043649,USDT
2021-04-23 12:40:01,DOGEUSDT,BUY,0.2309,45,10.39050000,0.045,DOGE
2021-04-23 12:36:49,DOGEUSDT,SELL,0.231,44,10.16400000,0.010164,USDT
2021-04-23 12:28:03,DOGEUSDT,BUY,0.2302632,44,10.13158080,0.044,DOGE
2021-04-22 19:49:15,DOGEUSDT,BUY,0.2815959,36,10.13745240,0.036,DOGE
2021-04-22 19:30:14,DOGEUSDT,SELL,0.2787856,39,10.87263840,0.01087264,USDT
2021-04-22 19:28:04,DOGEUSDT,BUY,0.2765033,40,11.06013200,0.04,DOGE
